account_id,avg_txn_amount,total_spend,txn_count,std_txn_amount,max_txn_amount,min_txn_amount,median_txn_amount,active_days,txn_per_day,ratio_credit_card,ratio_debit_card,ratio_cash_deposit,ratio_direct_debit,ratio_bank_transfer,ratio_groceries,ratio_dining,ratio_online_shopping,ratio_entertainment,ratio_bars_nightlife,ratio_atm_withdrawal,ratio_gym_sports,ratio_clothing,ratio_travel,ratio_public_transit,ratio_fuel,ratio_transfer_out,ratio_utilities,ratio_pharmacy,ratio_savings_transfer,ratio_healthcare,ratio_gambling,ratio_electronics,ratio_education,ratio_refund,ratio_fees_penalties,ratio_salary_credit,ratio_insurance,ratio_rent,total_gambling,total_fees_penalties,total_bars_nightlife,total_atm_withdrawal,total_salary_credit,total_savings_transfer,total_utilities,total_rent,total_online_shopping,total_travel,total_transfer_out,high_risk_ratio,stability_ratio,essential_ratio,late_night_ratio,weekend_spend_ratio,has_salary,cash_ratio,credit_defaults
ACC000000000007,224.70177884615384,46737.97,208,450.83592150154146,5027.19,3.79,116.815,83,2.5060240963855422,0.0,0.0,0.0,0.0,0.0,0.09134615384615384,0.10096153846153846,0.0,0.08173076923076923,0.0,0.0,0.0,0.04326923076923077,0.057692307692307696,0.0,0.019230769230769232,0.0,0.009615384615384616,0.03365384615384615,0.0,0.019230769230769232,0.014423076923076924,0.038461538461538464,0.014423076923076924,0.028846153846153848,0.0,0.0,0.028846153846153848,0.0,522.45,0.0,0.0,0.0,0.0,0.0,272.68,0.0,0.0,5736.049999999999,0.0,0.014423076923076924,0.038461538461538464,0.16346153846153844,0.0625,0.174334272541148,0,0.0,0
ACC000000000023,201.70780769230768,52444.03,260,380.8169131069452,3471.42,4.86,101.765,86,3.0232558139534884,0.0,0.0,0.0,0.0,0.0,0.1576923076923077,0.11538461538461539,0.0,0.06923076923076923,0.0,0.0,0.0,0.03076923076923077,0.03461538461538462,0.0,0.05384615384615385,0.0,0.03461538461538462,0.04230769230769231,0.0,0.026923076923076925,0.015384615384615385,0.026923076923076925,0.023076923076923078,0.007692307692307693,0.0,0.0,0.011538461538461539,0.0038461538461538464,711.38,0.0,0.0,0.0,0.0,0.0,1062.65,1504.3,0.0,5368.29,0.0,0.015384615384615385,0.05,0.28076923076923077,0.08076923076923077,0.3232223000406338,0,0.0,0
ACC000000000049,155.4734939759036,25808.6,166,150.93967411405634,794.28,4.59,102.83,72,2.3055555555555554,0.0,0.0,0.0,0.0,0.0,0.0963855421686747,0.08433734939759036,0.0,0.06626506024096386,0.0,0.0,0.0,0.04819277108433735,0.05421686746987952,0.0,0.030120481927710843,0.0,0.04216867469879518,0.018072289156626505,0.0,0.012048192771084338,0.018072289156626505,0.030120481927710843,0.018072289156626505,0.018072289156626505,0.0,0.0,0.006024096385542169,0.0,390.96000000000004,0.0,0.0,0.0,0.0,0.0,830.78,0.0,0.0,3504.4900000000002,0.0,0.018072289156626505,0.048192771084337345,0.1566265060240964,0.07228915662650602,0.37358787380950526,0,0.0,0
ACC000000000063,186.3469724770642,20311.82,109,183.78077262861706,900.0,3.44,145.24,63,1.7301587301587302,0.0,0.0,0.0,0.0,0.0,0.10091743119266056,0.06422018348623854,0.0,0.05504587155963303,0.0,0.0,0.0,0.03669724770642202,0.03669724770642202,0.0,0.01834862385321101,0.0,0.06422018348623854,0.05504587155963303,0.0,0.027522935779816515,0.027522935779816515,0.01834862385321101,0.01834862385321101,0.03669724770642202,0.0,0.0,0.01834862385321101,0.009174311926605505,615.49,0.0,0.0,0.0,0.0,0.0,948.6,719.57,0.0,2828.29,0.0,0.027522935779816515,0.09174311926605505,0.2018348623853211,0.08256880733944955,0.328060705539927,0,0.0,1
ACC000000000075,277.5107772020726,53559.58,193,562.93510438493,3816.01,3.98,118.24,77,2.5064935064935066,0.0,0.0,0.0,0.0,0.0,0.10880829015544041,0.07253886010362694,0.0,0.05181347150259067,0.0,0.0,0.0,0.06217616580310881,0.05181347150259067,0.0,0.031088082901554404,0.0,0.05181347150259067,0.03626943005181347,0.0,0.010362694300518135,0.025906735751295335,0.025906735751295335,0.02072538860103627,0.015544041450777202,0.0,0.0,0.025906735751295335,0.0051813471502590676,728.46,0.0,0.0,0.0,0.0,0.0,1251.6000000000001,756.83,0.0,4276.94,0.0,0.025906735751295335,0.08290155440414508,0.18652849740932642,0.07772020725388601,0.33998119477411887,0,0.0,1
ACC000000000099,147.87253246753247,22772.37,154,169.5449005004325,800.0,6.9,85.375,72,2.138888888888889,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.09740259740259741,0.0,0.06493506493506493,0.0,0.0,0.0,0.05194805194805195,0.05844155844155844,0.0,0.08441558441558442,0.0,0.025974025974025976,0.045454545454545456,0.0,0.03896103896103896,0.012987012987012988,0.006493506493506494,0.0,0.012987012987012988,0.0,0.0,0.012987012987012988,0.006493506493506494,179.19,0.0,0.0,0.0,0.0,0.0,359.9,740.39,0.0,4011.16,0.0,0.012987012987012988,0.045454545454545456,0.2597402597402597,0.07792207792207792,0.30460026778064814,0,0.0,0
ACC000000000122,239.41289256198345,28968.96,121,518.5727663668781,3910.18,6.61,103.55,63,1.9206349206349207,0.0,0.0,0.0,0.0,0.0,0.11570247933884298,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,0.0,0.01652892561983471,0.01652892561983471,0.0,0.0,0.0,0.05785123966942149,0.04132231404958678,0.0,0.024793388429752067,0.05785123966942149,0.01652892561983471,0.01652892561983471,0.024793388429752067,0.0,0.0,0.01652892561983471,0.008264462809917356,1174.16,0.0,0.0,0.0,0.0,0.0,872.6100000000001,425.78,0.0,1068.6100000000001,0.0,0.05785123966942149,0.08264462809917356,0.18181818181818182,0.10743801652892562,0.35519466352951573,0,0.0,1
ACC000000000149,173.60971830985918,24652.58,142,272.26124822758914,2770.37,4.23,97.66499999999999,76,1.868421052631579,0.0,0.0,0.0,0.0,0.0,0.1619718309859155,0.035211267605633804,0.0,0.1056338028169014,0.0,0.0,0.0,0.04225352112676056,0.056338028169014086,0.0,0.028169014084507043,0.0,0.02112676056338028,0.014084507042253521,0.0,0.035211267605633804,0.02112676056338028,0.007042253521126761,0.035211267605633804,0.028169014084507043,0.0,0.0,0.007042253521126761,0.0,257.66,0.0,0.0,0.0,0.0,0.0,418.85,0.0,0.0,4034.46,0.0,0.02112676056338028,0.028169014084507043,0.23943661971830987,0.07746478873239436,0.2569418697759018,0,0.0,0
ACC000000000171,204.72798798798797,68174.42,333,373.33152991351545,3110.73,4.82,101.6,87,3.8275862068965516,0.0,0.0,0.0,0.0,0.0,0.15315315315315314,0.08108108108108109,0.0,0.05405405405405406,0.0,0.0,0.0,0.06606606606606606,0.07507507507507508,0.0,0.042042042042042045,0.0,0.042042042042042045,0.03903903903903904,0.0,0.018018018018018018,0.015015015015015015,0.02702702702702703,0.015015015015015015,0.018018018018018018,0.0,0.0,0.012012012012012012,0.0,934.1999999999999,0.0,0.0,0.0,0.0,0.0,1700.93,0.0,0.0,12950.65,0.0,0.015015015015015015,0.05405405405405406,0.2522522522522523,0.05405405405405406,0.2720606937323412,0,0.0,0
ACC000000000173,218.53024539877302,35620.43,163,497.2331426683468,3911.96,4.64,98.62,78,2.08974358974359,0.0,0.0,0.0,0.0,0.0,0.1165644171779141,0.12269938650306748,0.0,0.08588957055214724,0.0,0.0,0.0,0.049079754601226995,0.024539877300613498,0.0,0.024539877300613498,0.0,0.03067484662576687,0.03680981595092025,0.0,0.03680981595092025,0.018404907975460124,0.012269938650306749,0.03067484662576687,0.018404907975460124,0.0,0.0,0.0,0.0,425.13,0.0,0.0,0.0,0.0,0.0,524.2,0.0,0.0,1585.65,0.0,0.018404907975460124,0.03067484662576687,0.2147239263803681,0.08588957055214724,0.36654161670704144,0,0.0,0
