account_id,checking_status,credit_history,employment,age,sex,credit_amount,housing,existing_credits,savings_status,credit_defaults
ACC000000000001,0<=X<200,existing paid,<1,20,F,2317,own,2,no known savings,1
ACC000000000002,no checking,no credits/all paid,4<=X<7,31,M,5014,own,1,100<=X<500,0
ACC000000000003,0<=X<200,existing paid,unemployed,44,M,3356,free,1,>=1000,0
ACC000000000004,0<=X<200,all paid,1<=X<4,28,M,1154,own,1,<100,0
ACC000000000005,<0,delayed previously,4<=X<7,26,F,4984,free,1,<100,1
ACC000000000006,no checking,existing paid,<1,49,F,1854,own,1,no known savings,0
ACC000000000008,no checking,existing paid,<1,30,M,1626,own,1,<100,0
ACC000000000009,<0,existing paid,<1,26,M,1568,own,2,<100,1
ACC000000000010,no checking,critical/other existing credit,>=7,19,M,751,own,1,<100,0
ACC000000000011,0<=X<200,critical/other existing credit,1<=X<4,30,F,1036,free,1,500<=X<1000,0
ACC000000000012,<0,existing paid,1<=X<4,69,F,2873,own,2,<100,0
ACC000000000013,<0,critical/other existing credit,1<=X<4,34,M,8304,own,1,<100,1
ACC000000000014,no checking,no credits/all paid,>=7,61,M,3080,own,2,<100,0
ACC000000000015,<0,existing paid,unemployed,21,M,1386,own,1,<100,1
ACC000000000016,0<=X<200,delayed previously,1<=X<4,20,M,10799,own,1,<100,0
ACC000000000017,no checking,no credits/all paid,1<=X<4,43,M,1079,own,2,<100,0
ACC000000000018,no checking,critical/other existing credit,1<=X<4,35,M,2728,own,1,>=1000,0
ACC000000000019,0<=X<200,delayed previously,>=7,37,M,8839,free,1,<100,1
ACC000000000020,>=200,existing paid,1<=X<4,38,M,7899,own,1,100<=X<500,0
ACC000000000021,0<=X<200,all paid,>=7,37,M,401,own,1,<100,0
ACC000000000022,0<=X<200,critical/other existing credit,1<=X<4,44,F,3582,own,1,100<=X<500,0
ACC000000000024,no checking,existing paid,unemployed,52,F,3086,rent,1,<100,1
ACC000000000025,0<=X<200,critical/other existing credit,1<=X<4,27,F,1103,own,1,<100,0
ACC000000000026,0<=X<200,existing paid,1<=X<4,34,F,1711,free,1,<100,1
ACC000000000027,0<=X<200,existing paid,1<=X<4,35,M,1914,own,1,>=1000,1
